tillage_method,mulch_rate,depth,soil_water
Plough,1 mulch rate,300 mm,29.62477477
Plough,1 mulch rate,300 mm,11.54848332
Plough,1 mulch rate,300 mm,15.20586306
Plough,1 mulch rate,300 mm,24.72262156
Plough,1 mulch rate,600 mm,49.16937467
Plough,1 mulch rate,600 mm,61.9509447
Plough,1 mulch rate,600 mm,56.01610729
Plough,1 mulch rate,600 mm,77.33584805
Plough,1 mulch rate,600 mm,27.32573201
Plough,1 mulch rate,600 mm,31.93826602
Plough,1 mulch rate,600 mm,53.28170009
Plough,1 mulch rate,600 mm,70.78686507
Plough,1 mulch rate,600 mm,73.53518211
Plough,1 mulch rate,600 mm,49.50189902
Plough,1 mulch rate,600 mm,74.52482618
Plough,1 mulch rate,600 mm,30.46440082
Plough,1 mulch rate,600 mm,35.27528921
Plough,1 mulch rate,600 mm,31.19489689
Plough,1 mulch rate,600 mm,68.69508747
Plough,1 mulch rate,600 mm,43.13347065
Plough,1 mulch rate,600 mm,45.17279271
Plough,1 mulch rate,600 mm,67.42036301
Plough,1 mulch rate,600 mm,30.89457707
Plough,1 mulch rate,600 mm,34.16355537
Plough,1 mulch rate,600 mm,50.74883058
Plough,1 mulch rate,900 mm,105.3324456
Plough,1 mulch rate,900 mm,117.956069
Plough,1 mulch rate,900 mm,137.4346414
Plough,1 mulch rate,900 mm,49.15716032
Plough,1 mulch rate,900 mm,62.83311492
Plough,1 mulch rate,900 mm,67.26903338
Plough,1 mulch rate,900 mm,130.062883
Plough,1 mulch rate,900 mm,83.091126
Plough,1 mulch rate,900 mm,110.5365584
Plough,1 mulch rate,900 mm,61.21222996
Plough,1 mulch rate,900 mm,70.1147269
Plough,1 mulch rate,900 mm,49.79782516
Plough,1 mulch rate,900 mm,71.07867476
Plough,1 mulch rate,900 mm,88.75144632
Plough,1 mulch rate,900 mm,111.8924602
Plough,1 mulch rate,900 mm,51.2659992
Plough,1 mulch rate,900 mm,61.75461562
Plough,1 mulch rate,900 mm,83.09626647
Ripper,1 mulch rate,300 mm,31.36605861
Ripper,1 mulch rate,300 mm,23.81096747
Ripper,1 mulch rate,300 mm,22.12942215
Ripper,1 mulch rate,300 mm,32.03118402
Ripper,1 mulch rate,300 mm,11.72655639
