ripper,plough,basins,soil_type
122.9583333,118.375,112.4375,Clay
130.0391472,130.184737,127.0364341,Clay
122.9596273,122.9364416,128.2716623,Clay
126.9387888,115.7634905,120.1421547,Clay
150.9633667,151.6485391,146.1447732,Clay
155.4001066,146.2199024,144.1610842,Clay
145.3105086,136.7152632,137.0187488,Clay
139.3550886,134.7943387,133.0329564,Clay
147.9450755,147.9352254,142.1161093,Clay
140.2382894,138.5687924,127.5753448,Clay
139.4358996,139.8176297,132.8691029,Clay
135.0306128,136.1933537,133.5591115,Clay
133.4164507,138.2188855,130.1491644,Clay
99.97916667,111.1875,87.125,Clay
96.97916667,109.7291667,99.0625,Clay
119.7916667,132.9583333,116.1458333,Clay
139.99116,149.779696,137.2285797,Clay
133.5470302,143.3351043,134.1020486,Clay
127.2718232,141.695643,128.5468622,Clay
149.662038,160.0380958,153.8849729,Clay
150.4160783,163.7584595,137.9836362,Clay
141.3835073,147.1635338,139.5274291,Clay
141.2645283,143.6030084,142.6557947,Clay
139.6410805,146.231896,139.3151901,Clay
128.3387727,133.9579643,125.3068191,Clay
124.1245102,127.0239497,120.4196316,Clay
134.4290923,127.2710451,124.6689691,Clay
128.4019023,126.5809672,123.484949,Clay
102.6041667,105.5208333,113.4166667,Clay
104.625,98.89583333,103.375,Clay
118.125,119.5625,109.0416667,Clay
128.2735329,134.6484546,119.8475499,Clay
128.7736877,129.1649975,124.873127,Clay
127.3336458,125.4273338,123.9349718,Clay
152.1703433,152.7491603,149.2057002,Clay
149.9120994,154.9112637,143.3418387,Clay
143.3895251,139.8625502,139.6104207,Clay
143.5220207,137.6071805,145.1323847,Clay
